vendor,category,default_ports,protocol,shodan_dorks,probe_paths,signature_markers,severity,auth_posture,auth_evidence,has_enumerator,supplementary_notes,sources
Envoy Admin,AI Gateways,9901;15000,http,,/;/config_dump,body:Envoy Admin;body:configs;hdr:server=envoy,critical,unauth-on-default,ledger 33/33 unauth,no,,aimap
Envoy AI Gateway,AI Gateways,9901,,"port:9901 http.html:""envoy""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Helicone,AI Gateways,8585,,"http.html:""helicone"" | port:8585 http.html:""helicone""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Kong Admin API,AI Gateways,8001;8444,http,,/;/services,"body:""tagline"":""Welcome to Kong"";hdr:server=kong/;hdr:x-kong-admin-latency;json:data;json:next;json:version",critical,unauth-on-default,,no,,aimap
Kong AI Gateway,AI Gateways,8001;9901,,"http.html:""kong"" http.html:""ai-proxy"" | port:8001 http.html:""kong""",,,,,,,,AI-LLM-Infrastructure-OSINT
LangSmith,AI Gateways,1984,HTTP,"port:1984 http.html:""langsmith""",,,,unauth-on-default,,,[tome] LangChain tracing self-hosted; auth_default: api_key; port 1984 is distinctive/low-FP; traces contain full conversation history + PII,AI-LLM-Infrastructure-OSINT;tome
new-api,AI Gateways,3000,,"port:3000 http.html:""new-api""",,,,,,,,AI-LLM-Infrastructure-OSINT
Portkey,AI Gateways,8787,,"http.html:""portkey"" | port:8787 http.html:""portkey""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Portkey Gateway,AI Gateways,80;443;8787,http,,/,body:AI Gateway says hey,medium,auth-on-default,,no,,aimap
TensorZero,AI Gateways,,,"http.html:""tensorzero""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Tyk,AI Gateways,,,"http.html:""tyk"" http.html:""gateway""",,,,mixed,,,,AI-LLM-Infrastructure-OSINT
Unstructured,AI Gateways,,,"http.html:""unstructured""",,,,,,,,AI-LLM-Infrastructure-OSINT
DeepEval Server,AI Safety / Guardrail,5000;8000;8080,http,"port:8000 http.html:""deepeval""",/api/health;/api/v1/evaluations,body:deepeval;json:service;json_array,medium,unauth-on-default,,yes,,AI-LLM-Infrastructure-OSINT;aimap
Garak,AI Safety / Guardrail,,,"http.html:""garak""",,,,,,,,AI-LLM-Infrastructure-OSINT
Garak REST,AI Safety / Guardrail,5000;8000;8080,http,,/api/v1/garak/version;/probes,body:garak;json:garak_version;json:probes,high,mixed,,no,,aimap
Guardrails AI,AI Safety / Guardrail,443;5000;8000;8080,,"port:8000 http.html:""guardrails""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Inspect AI,AI Safety / Guardrail,7575;7576;8080,http,"port:7575 http.html:""inspect""",/;/api/logs,body:<title>inspect;body:log_dir;json_array,medium,mixed,,no,,AI-LLM-Infrastructure-OSINT;aimap
Lakera Guard,AI Safety / Guardrail,443;8000;8080;8443,,"port:8000 http.html:""lakera""",,,,,,,,AI-LLM-Infrastructure-OSINT
Lakera Guard Self-Hosted,AI Safety / Guardrail,8000;8080,http,,/api/v1/guards;/v1/guard,hdr:Server=lakera;json:guards,high,mixed,,no,,aimap
LangSmith Self-Hosted,AI Safety / Guardrail,1984;8080,http,,/api/v1/info;/info,body:langsmith;json:instance_flags;json:version,high,mixed,,yes,,aimap
LlamaGuard,AI Safety / Guardrail,,,"http.html:""llamaguard""",,,,,,,,AI-LLM-Infrastructure-OSINT
LLM Guard API,AI Safety / Guardrail,80;443;8000,http,"port:8000 http.html:""llm-guard""",/,body:LLM Guard API;json:name,high,unauth-on-default,,no,,AI-LLM-Infrastructure-OSINT;aimap
NeMo Guardrails,AI Safety / Guardrail,8000;8080;8443,http,"port:8000 http.html:""nemo"" http.html:""guardrails""",/openapi.json;/v1/rails/configs,body:/v1/rails/configs;body:openapi;json_array,high,unauth-on-default,,yes,,AI-LLM-Infrastructure-OSINT;aimap
OPA,AI Safety / Guardrail,8181,,"port:8181 http.html:""opa"" OR http.html:""openpolicyagent""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Promptfoo,AI Safety / Guardrail,80;443;3000;5000;15500,http,"port:15500 http.html:""promptfoo""",/;/api/eval;/api/health,body:/promptfoo/favicon;body:<title>promptfoo</title>;body:promptfoo;json:status;json_array,medium,mixed,,yes,,AI-LLM-Infrastructure-OSINT;aimap
Styra DAS,AI Safety / Guardrail,,,"http.html:""styra""",,,,,,,,AI-LLM-Infrastructure-OSINT
W&B Weave,AI Safety / Guardrail,,,"http.html:""weave"" http.html:""wandb""",,,,,,,,AI-LLM-Infrastructure-OSINT
Open Policy Agent,Auth / Policy Engines,8081;8181,http,,/;/v1/policies,body:.rego;body:Open Policy Agent;body:policy-enable;json:result,high,unauth-on-default,,no,,aimap
Apache Superset,BI / Dashboards,80;443;8080;8088,http,"port:8088 http.html:""superset""",/api/v1/,body:Superset;json:message,high,mixed,,yes,,AI-LLM-Infrastructure-OSINT;aimap
Metabase,BI / Dashboards,80;443;3000;8080;8443,http,"port:3000 http.html:""metabase"" | http.title:""Metabase""",/api/session/properties,json:has-user-setup,high,mixed,,yes,,AI-LLM-Infrastructure-OSINT;aimap
Redash,BI / Dashboards,80;443;5000,http,"port:5000 http.html:""redash""",/api/status,json:version;json:workers,high,mixed,,yes,,AI-LLM-Infrastructure-OSINT;aimap
Browserless,Browser Automation,3000,,"port:3000 http.html:""browserless""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Chrome DevTools Protocol,Browser Automation,9222,,"port:9222 http.html:""json/version""",,,,,,,,AI-LLM-Infrastructure-OSINT
Playwright,Browser Automation,3000;4444,,"port:3000 http.html:""playwright""",,,,,,,,AI-LLM-Infrastructure-OSINT
Playwright MCP,Browser Automation,8931,,"port:8931 http.html:""playwright""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Selenium Grid,Browser Automation,4444,,"port:4444 http.html:""selenium""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Selenoid,Browser Automation,,,"http.html:""selenoid""",,,,,,,,AI-LLM-Infrastructure-OSINT
Skyvern,Browser Automation,8000,,"port:8000 http.html:""skyvern""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Splash,Browser Automation,8050,,"port:8050 http.html:""splash""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Apollo GraphQL API,Chatbot Frameworks,80;443;3000;4000;5000;8000;8080,http,,/api/graphql;/graphql,body:cross-site request forgery;json:errors;status:400,medium,mixed,,yes,,aimap
Evolution API (WhatsApp),Chatbot Frameworks,3000;8080,http,,/,body:in the house;json:version,high,unauth-on-default,,no,,aimap
Rasa,Chatbot Frameworks,80;443;5005;8080,http,,/;/status;/webhooks/rest/webhook,body:Hello from Rasa:;hdr:Allow=GET;json:model_file;status:405,high,unauth-on-default,ledger 1/1 unauth,yes,,aimap
AgentGPT,Code Assistants,80;443;3000,http,"http.html:""AgentGPT""",/,body:AgentGPT;body:reworkd,high,unauth-on-default,,no,,AI-LLM-Infrastructure-OSINT;aimap
Agno,Code Assistants,3000;7777;8000,http,"http.html:""agno""",/agents;/openapi.json,body:Your multi-agent operating system.;json_array,high,unauth-on-default,,yes,,AI-LLM-Infrastructure-OSINT;aimap
bolt.diy,Code Assistants,80;443;3000;3001;5173;8081,http,"http.html:""bolt.diy""",/,body:bolt.diy,medium,unauth-on-default,ledger 14/14 unauth,no,,AI-LLM-Infrastructure-OSINT;aimap
CodeGeeX,Code Assistants,,,"http.html:""codegeex""",,,,,ledger 2/2 unauth,,,AI-LLM-Infrastructure-OSINT
Coolify,Code Assistants,443;8000,http,,/;/login,body:<title>Coolify</title>;hdr:Set-Cookie=coolify_session,low,auth-on-default,,yes,,aimap
CrewAI Studio,Code Assistants,3000;8000;8080,http,,/;/api/crews,body:CrewAI Studio;json_array,critical,unauth-on-default,,no,,aimap
Devika,Code Assistants,1337;3000;8000,http,"http.html:""devika""",/;/api/projects,body:Devika;body:stitionai;json_array,high,unauth-on-default,,no,,AI-LLM-Infrastructure-OSINT;aimap
Dyad,Code Assistants,80;443;3000,http,"http.html:""dyad""",/,body:dyad-generated-app,medium,unauth-on-default,ledger 22/22 unauth,no,,AI-LLM-Infrastructure-OSINT;aimap
GPT Researcher,Code Assistants,8000;8080,http,"port:8000 http.html:""gpt-researcher""",/;/api/report,body:gpt_researcher;body:method not allowed;status:405,high,unauth-on-default,,no,,AI-LLM-Infrastructure-OSINT;aimap
gpt-engineer,Code Assistants,8081,,"port:8081 http.html:""gpt-engineer""",,,,,ledger 11/11 unauth,,,AI-LLM-Infrastructure-OSINT
LangGraph Server,Code Assistants,80;443;2024;8000;8123,http,"http.html:""LangGraph"" port:8000 | port:8000 http.html:""langgraph""",/;/info,body:LangGraph;body:langgraph;hdr:Server=uvicorn;json:service;json:version,high,unauth-on-default,ledger 0/1 unauth,yes,,AI-LLM-Infrastructure-OSINT;aimap
Mem0,Code Assistants,3000;8000;8080;8888,http,"port:8000 http.html:""mem0""",/docs;/openapi.json;/v1/memories,body:Mem0 REST APIs;body:mem0;json:paths;json_array,high,mixed,,yes,,AI-LLM-Infrastructure-OSINT;aimap
OpenClaw,Code Assistants,80;443;18789,http,"http.html:""OpenClaw"" port:18789",/,body:clawdbot-app,medium,mixed,ledger 0/563 unauth,yes,,AI-LLM-Infrastructure-OSINT;aimap
OpenHands,Code Assistants,80;443;3000;3001;30000,http,"port:3000 http.html:""openhands"" | http.title:""OpenHands""",/;/api/options/config;/api/options/models,body:<title>OpenHands</title>;body:OpenHands Admin Console;body:POSTHOG_CLIENT_KEY;json:APP_MODE;json_array,critical,unauth-on-default,ledger 136/136 unauth,yes,,AI-LLM-Infrastructure-OSINT;aimap
Refact,Code Assistants,80;443;8008;8081,http,"port:8081 http.html:""refact""",/,body:Refact Server Login,medium,auth-on-default,,no,,AI-LLM-Infrastructure-OSINT;aimap
Sourcebot,Code Assistants,80;443;3000;8080,http,"port:8080 http.html:""sourcebot""",/api/repos,body:NOT_AUTHENTICATED;json:errorCode,high,mixed,ledger 14/14 unauth,no,,AI-LLM-Infrastructure-OSINT;aimap
Sourcegraph,Code Assistants,80;81;443;3080;7080,http,"http.html:""sourcegraph""",/.api/graphql;/sign-in,body:Private mode requires authentication;body:Sign in - Sourcegraph,high,mixed,ledger 19/19 unauth,no,,AI-LLM-Infrastructure-OSINT;aimap
SuperAGI,Code Assistants,80;443;3000;8001,http,"http.html:""SuperAGI""",/;/health,body:SuperAGI;body:superagi;json:version,high,mixed,,no,,AI-LLM-Infrastructure-OSINT;aimap
Sweep AI,Code Assistants,80;443;8080,http,"http.html:""sweep"" http.html:""ai""",/health,json:autocomplete,high,mixed,ledger 3/3 unauth,no,,AI-LLM-Infrastructure-OSINT;aimap
Tabnine,Code Assistants,443,,"ssl.cert.subject.cn:""tabnine.com""",,,,,,,,AI-LLM-Infrastructure-OSINT
Tabnine Context Engine,Code Assistants,80;443;8080,http,,/api/version,body:API key required. Use Authorization: Bearer <key> or X-API-K;json:error,high,auth-on-default,,no,,aimap
Consul,Containers / Infra,8500,http,"port:8500 http.html:""consul""",/v1/agent/self;/v1/catalog/services,body:Datacenter;body:NodeName;json:consul,high,unauth-on-default,ledger 1827/1827 unauth,no,,AI-LLM-Infrastructure-OSINT;aimap
Docker daemon,Containers / Infra,2375;2376,http,"port:2375 http.html:""docker""",/version,body:ApiVersion;body:GoVersion;hdr:Server=Docker/,critical,mixed,,no,,AI-LLM-Infrastructure-OSINT;aimap
etcd,Containers / Infra,2379;2380,http,"port:2379 http.html:""etcd""",/version,body:etcdcluster;body:etcdserver,critical,unauth-on-default,ledger 2176/2176 unauth,yes,,AI-LLM-Infrastructure-OSINT;aimap
k3s,Containers / Infra,,,"http.html:""k3s""",,,,mixed,,,,AI-LLM-Infrastructure-OSINT
Kubelet,Containers / Infra,10250;10255,http,,/healthz;/pods,body:PodList;body:Unauthorized;hdr:Content-Type=text/plain;status:401,critical,mixed,,no,[menlohunt/ports.go] Kubernetes node agent; menlohunt risk tier: Critical; tags: kubernetes/kubelet/rce,aimap;menlohunt/ports.go
Kubernetes API,Containers / Infra,6443;8443,http,"port:6443 http.html:""kubernetes""",/api;/api/v1/namespaces;/version,body:buildDate;body:forbidden;body:gitCommit;body:gitVersion;body:system:anonymous;json:items;status:403,high,mixed,,no,[menlohunt/ports.go] K8s control plane; menlohunt risk tier: High; tags: kubernetes/k8s,AI-LLM-Infrastructure-OSINT;aimap;menlohunt/ports.go
Kubernetes Dashboard,Containers / Infra,8001;30000,HTTP,"port:30000 http.html:""kubernetes""",,,,unauth-on-default,,,[menlohunt/ports.go] K8s Dashboard; menlohunt risk tier: Critical; tags: kubernetes/dashboard,AI-LLM-Infrastructure-OSINT;menlohunt/ports.go
Kubernetes Kubelet,Containers / Infra,10250;10255,,"port:10250 http.html:""kubelet""",,,,,,,,AI-LLM-Infrastructure-OSINT
Portainer,Containers / Infra,9000;9443,http,"port:9000 http.html:""portainer""",/api/status,body:InstanceID,high,mixed,,no,,AI-LLM-Infrastructure-OSINT;aimap
Rancher,Containers / Infra,8443,,"port:8443 http.html:""rancher""",,,,mixed,,,,AI-LLM-Infrastructure-OSINT
Vault,Containers / Infra,8200,http,"port:8200 http.html:""vault""",/v1/sys/health,body:initialized;body:sealed,high,mixed,,no,,AI-LLM-Infrastructure-OSINT;aimap
Anthropic API Key,Credential Leaks,,,"http.html:""ANTHROPIC_API_KEY""",,,,,,,,AI-LLM-Infrastructure-OSINT
DeepSeek API Key,Credential Leaks,,,"http.html:""DEEPSEEK_API_KEY""",,,,,,,,AI-LLM-Infrastructure-OSINT
Env File Exposure,Credential Leaks,,,"http.html:"".env"" http.html:""API_KEY""",,,,,,,,AI-LLM-Infrastructure-OSINT
Exposed API Credentials,Credential Leaks,80;443;3000;3001;4000;5000;7860;8000;8080;8443;8888;9000,http,,/;/debug/vars;/env,body:lsv2_pt_;body:lsv2_sk_;body:sk-ant-api03-;body:sk-helicone-;body:sk-lf-;body:sk-or-v1-;body:sk_live_;body:sk_test_,critical,unauth-on-default,,yes,,aimap
Google AI Key,Credential Leaks,,,"http.html:""GOOGLE_API_KEY""",,,,,,,,AI-LLM-Infrastructure-OSINT
Groq API Key,Credential Leaks,,,"http.html:""GROQ_API_KEY""",,,,,,,,AI-LLM-Infrastructure-OSINT
HuggingFace Token,Credential Leaks,,,"http.html:""HF_TOKEN""",,,,,,,,AI-LLM-Infrastructure-OSINT
Mistral API Key,Credential Leaks,,,"http.html:""MISTRAL_API_KEY""",,,,,,,,AI-LLM-Infrastructure-OSINT
OpenAI API Key,Credential Leaks,,,"http.html:""OPENAI_API_KEY""",,,,,,,,AI-LLM-Infrastructure-OSINT
CVAT,Data Labeling,80;443;8080;8081,http,"port:8080 http.html:""CVAT""",/api/server/about,body:Computer Vision Annotation Tool;json:version,medium,mixed,,no,,AI-LLM-Infrastructure-OSINT;aimap
Doccano,Data Labeling,80;443;3000;8000,http,"port:8000 http.html:""doccano""",/,body:doccano,medium,mixed,,no,,AI-LLM-Infrastructure-OSINT;aimap
Label Studio,Data Labeling,80;443;8000;8080;8081,http,"port:8080 http.html:""Label Studio""",/api/version;/version,body:label-studio-backend;body:label-studio-os,medium,mixed,,no,,AI-LLM-Infrastructure-OSINT;aimap
Prodigy,Data Labeling,8000;8080;8081,http,"http.html:""prodigy"" http.html:""annotation""",/;/health,body:alive;body:prodigy.js;json:status,high,unauth-on-default,,no,,AI-LLM-Infrastructure-OSINT;aimap
Arize Phoenix,Embedding Services,80;443;6006;8000,http,"port:6006 http.html:""phoenix""",/,body:<title>Phoenix</title>;body:Arize Phoenix;body:Phoenix;body:platformVersion,critical,mixed,,yes,,AI-LLM-Infrastructure-OSINT;aimap
BAAI/bge,Embedding Services,,,"http.html:""bge"" http.html:""embeddings""",,,,,,,,AI-LLM-Infrastructure-OSINT
Embedding API,Embedding Services,5000;8000;8001;8002;8080;8100,http,,/;/health,json:embed;json:embedding_dimension,medium,unauth-on-default,,yes,,aimap
Helicone Self-Hosted,Embedding Services,80;443;3000;8585,http,,/;/signin,body:_next/static;body:helicone,high,auth-on-default,,yes,,aimap
HuggingFace TEI,Embedding Services,80;3000;8080,http,,/info,body:feature-extraction;json:model_pipeline_tag,medium,unauth-on-default,,yes,,aimap
infinity-embedding,Embedding Services,7997;8000;8080,http,"port:7997 http.html:""infinity""",/openapi.json;/v1/models,body:Infinity Emb;body:infinity_emb;json:data,medium,unauth-on-default,,yes,,AI-LLM-Infrastructure-OSINT;aimap
Jina Embeddings,Embedding Services,8000;8080,,"port:8080 http.html:""jina""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
LocalAI Embeddings,Embedding Services,8080,,"port:8080 http.html:""localai"" http.html:""embeddings""",,,,,,,,AI-LLM-Infrastructure-OSINT
Lunary,Embedding Services,80;443;3000,http,,/;/api/v1/health,"body:""status"":""ok"";body:<title>Dashboard | Lunary</title>",high,mixed,ledger 2/2 unauth,yes,,aimap
nomic-embed,Embedding Services,,,"http.html:""nomic-embed""",,,,,,,,AI-LLM-Infrastructure-OSINT
OpenLIT,Embedding Services,80;443;3000,http,,/api/ping;/login,body:OpenLIT;body:_next/static;body:callbackUrl,high,auth-on-default,,yes,,aimap
Pezzo,Embedding Services,80;443;3000;4200,http,,/,body:<title>Pezzo</title>;body:pezzo,high,mixed,,yes,,aimap
sentence-transformers,Embedding Services,,,"http.html:""sentence-transformers""",,,,,,,,AI-LLM-Infrastructure-OSINT
Xinference,Embedding Services,,,"http.html:""xinference""",,,,,,,,AI-LLM-Infrastructure-OSINT
Open Directory,Exposed File Servers,4000;8000;8080;9090,http,,/,body:Directory listing for;body:Index of /,high,unauth-on-default,,yes,,aimap
LLaMA-Factory,Fine-tuning Frameworks,80;443;7860;8000,http,"http.html:""LLaMA-Factory""",/;/v1/score/evaluation,body:LLaMA Factory;body:Method Not Allowed;body:gradio;json:detail;status:405,high,unauth-on-default,,no,,AI-LLM-Infrastructure-OSINT;aimap
Unsloth Studio,Fine-tuning Frameworks,80;443;8000;8080;8888,http,,/api/health,body:Unsloth UI Backend;json:chat_only,high,unauth-on-default,,no,,aimap
FastAPI ML,Fingerprinting,8000,,"port:8000 http.html:""FastAPI"" http.html:""openapi""",,,,,,,,AI-LLM-Infrastructure-OSINT
LlamaIndex,Fingerprinting,,,http.favicon.hash:-1404538293,,,,,ledger 1/1 unauth,,,AI-LLM-Infrastructure-OSINT
OpenAI-compat,Fingerprinting,8000,,"port:8000 http.html:""/v1/chat/completions"" | port:8000 http.html:""/v1/models""",,,,,ledger 25/25 unauth,,,AI-LLM-Infrastructure-OSINT
Apache Airflow,GPU / Compute / Training,80;443;8080,http,"http.html:""Airflow""",/api/v1/health;/health,json:metadatabase;json:scheduler,high,unauth-on-default,,no,,AI-LLM-Infrastructure-OSINT;aimap
Apache Spark UI,GPU / Compute / Training,4040;8080;18080,http,,/api/v1/applications;/api/v1/version,json:spark;json_array,high,unauth-on-default,,no,,aimap
Axolotl,GPU / Compute / Training,,,"http.html:""axolotl""",,,,,,,,AI-LLM-Infrastructure-OSINT
Cadence Web,GPU / Compute / Training,8088,http,,/api/v1/clusters;/api/v1/domains,json:clusters;json:domains,high,unauth-on-default,,yes,,aimap
Dask Dashboard,GPU / Compute / Training,8787,http,,/json/identity.json,json:services;json:type,medium,unauth-on-default,,no,,aimap
Determined AI,GPU / Compute / Training,,,"http.html:""determined"" http.html:""cluster""",,,,,,,,AI-LLM-Infrastructure-OSINT
Feast,GPU / Compute / Training,,,"http.html:""feast""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
GPUStack,GPU / Compute / Training,80,,"port:80 http.html:""gpustack""",,,,,,,,AI-LLM-Infrastructure-OSINT
Humanloop,GPU / Compute / Training,,,"http.html:""humanloop""",,,,,,,,AI-LLM-Infrastructure-OSINT
Jupyter,GPU / Compute / Training,8000;8888,HTTP,"port:8888 http.html:""jupyter"" | http.favicon.hash:-1848965666",,,,unauth-on-default,,,[tiptoe/probe.go] tiptoe LLM signature: confirmPath=/api; authPath=/api/contents — 200 = unauth,AI-LLM-Infrastructure-OSINT;tiptoe/probe.go
NVIDIA DCGM,GPU / Compute / Training,9400,,"port:9400 http.html:""dcgm""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
NVIDIA SMI,GPU / Compute / Training,8080,,"port:8080 http.html:""nvidia-smi""",,,,unauth-on-default,ledger 5/5 unauth,,,AI-LLM-Infrastructure-OSINT
OpenLLM,GPU / Compute / Training,,,"http.html:""openllm""",,,,,,,,AI-LLM-Infrastructure-OSINT
Prefect,GPU / Compute / Training,4200,http,,/api/admin/database;/api/admin/version,json:connection_url;json:version,high,unauth-on-default,,no,,aimap
RunPod,GPU / Compute / Training,8888,,"port:8888 http.html:""runpod""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
SageMaker,GPU / Compute / Training,,,"http.html:""SageMaker""",,,,,,,,AI-LLM-Infrastructure-OSINT
Streamlit,GPU / Compute / Training,8501,,"port:8501 http.html:""streamlit"" | http.favicon.hash:1279780014 | port:8501 http.title:""Streamlit""",,,,unauth-on-default,ledger 36/36 unauth,,,AI-LLM-Infrastructure-OSINT
Tecton,GPU / Compute / Training,,,"http.html:""tecton""",,,,,,,,AI-LLM-Infrastructure-OSINT
Temporal Web,GPU / Compute / Training,7233;7243;8080;8233,http,,/api/v1/cluster-info;/api/v1/namespaces;/api/v1/system-info,json:capabilities;json:clusterName;json:namespaces;json:serverVersion;json:supportedClients,high,unauth-on-default,,yes,,aimap
Unsloth,GPU / Compute / Training,,,"http.html:""unsloth""",,,,,,,,AI-LLM-Infrastructure-OSINT
Vast.ai,GPU / Compute / Training,8080,,"port:8080 http.html:""vast""",,,,,,,,AI-LLM-Infrastructure-OSINT
AUTOMATIC1111 / SD WebUI,Image Generation,80;443;3000;7860;7861;7862,http,,/sdapi/v1/options,body:sd_model_checkpoint,high,unauth-on-default,,yes,,aimap
ComfyUI,Image Generation,3000;5984;7860;8000;8080;8188,http,"port:8188 http.html:""comfyui"" | http.title:""ComfyUI"" | port:7860 http.html:""gradio"" http.html:""comfyui""",/system_stats,body:comfyui_version;body:python_version;json:system,critical,unauth-on-default,,yes,,AI-LLM-Infrastructure-OSINT;aimap
Fooocus,Image Generation,7860;7865,http,"port:7865 http.html:""fooocus""",/config,body:Fooocus,high,unauth-on-default,,no,,AI-LLM-Infrastructure-OSINT;aimap
Forge,Image Generation,7860,,"port:7860 http.html:""forge""",,,,,,,,AI-LLM-Infrastructure-OSINT
InvokeAI,Image Generation,7860;9090;9091,http,"port:9090 http.html:""invokeai"" | port:7860 http.html:""invokeai"" | port:7860 http.html:""gradio"" http.html:""invokeai""",/api/v1/app/version,json:version,high,unauth-on-default,,yes,,AI-LLM-Infrastructure-OSINT;aimap
SD.Next,Image Generation,7860,,"port:7860 http.html:""sd.next""",,,,,,,,AI-LLM-Infrastructure-OSINT
Stable Diffusion WebUI,Image Generation,7860,,"port:7860 http.html:""stable diffusion"" | port:7860 http.html:""AUTOMATIC1111"" | port:7860 http.html:""gradio"" http.html:""stable diffusion""",,,,,,,,AI-LLM-Infrastructure-OSINT
SwarmUI,Image Generation,7801,http,"port:7801 http.html:""swarmui""",/,body:SwarmUI,high,unauth-on-default,,no,,AI-LLM-Infrastructure-OSINT;aimap
big-AGI,LLM Orchestration,,,"http.html:""big-AGI""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
BISHENG,LLM Orchestration,,,"http.html:""BISHENG""",,,,mixed,,,,AI-LLM-Infrastructure-OSINT
Botpress,LLM Orchestration,,,"http.html:""Botpress""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Chainlit,LLM Orchestration,8000,,"http.html:""Chainlit"" port:8000",,,,mixed,,,,AI-LLM-Infrastructure-OSINT
Cheshire Cat,LLM Orchestration,,,"http.html:""Cheshire Cat""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
